id,label,cluster_id,is_an_outlier
1,F1,2,false
2,F2,2,false
3,F3,2,false
4,F4,2,false
5,F5,2,false
6,F6,2,false
7,F7,1,false
8,F8,2,false
9,F9,2,false
10,F10,1,false
11,F11,0,false
12,F12,0,false
13,F13,1,false
14,F14,2,false
15,F15,2,false
16,F16,2,false
17,F17,2,false
18,F18,1,false
19,F19,1,false
20,F20,0,false
21,F21,0,false
22,F22,1,false
23,F23,3,false
24,F24,1,false
25,F25,0,false
26,F26,1,false
27,F27,1,false
28,F28,2,false
29,F29,2,false
30,F30,1,false
31,F31,1,false
32,F32,1,false
33,F33,0,false
34,F34,0,false
35,F35,0,false
36,F36,0,false
37,F37,0,false
38,F38,0,false
39,F39,0,false
40,F40,3,false
41,F41,4,false
42,F42,4,false
43,F43,4,false
44,F44,0,false
45,F45,1,false
46,F46,1,false
47,F47,2,false
48,F48,3,false
49,F49,2,false
50,F50,1,false
51,F51,0,false
52,F52,1,false
53,F53,1,false
54,F54,0,false
55,F55,1,false
56,F56,2,false
57,F57,2,false
58,F58,3,false
59,F59,3,false
60,F60,2,false
61,F61,4,false
62,F62,4,false
63,F63,5,false
64,F64,4,false
65,F65,0,false
66,F66,0,false
67,F67,0,false
68,F68,0,false
69,F69,2,false
70,F70,2,false
71,F71,3,false
72,F72,2,false
73,F73,1,false
74,F74,0,false
75,F75,0,false
76,F76,1,false
77,F77,0,false
78,F78,2,false
79,F79,4,false
80,F80,4,false
81,F81,4,false
82,F82,4,false
83,F83,4,false
84,F84,5,false
85,F85,5,false
86,F86,4,false
87,F87,4,false
88,F88,0,false
89,F89,0,false
90,F90,1,false
91,F91,0,false
92,F92,0,false
93,F93,1,false
94,F94,1,false
95,F95,2,false
96,F96,2,false
97,F97,2,false
98,F98,2,false
99,F99,2,false
100,F100,1,false
101,F101,0,false
102,F102,0,false
103,F103,0,false
104,F104,2,false
105,F105,5,false
106,F106,4,false
107,F107,4,false
108,F108,4,false
109,F109,4,false
110,F110,4,false
111,F111,5,false
112,F112,4,false
113,F113,4,false
114,F114,0,false
115,F115,1,false
116,F116,1,false
117,F117,2,false
118,F118,1,false
119,F119,1,false
120,F120,0,false
121,F121,0,false
122,F122,1,false
123,F123,2,false
124,F124,3,false
125,F125,2,false
126,F126,1,false
127,F127,1,false
128,F128,0,false
129,F129,0,false
130,F130,0,false
131,F131,1,false
132,F132,1,false
133,F133,4,false
134,F134,5,false
135,F135,5,false
136,F136,4,false
137,F137,4,false
138,F138,4,false
139,F139,5,false
140,F140,5,false
141,F141,4,false
142,F142,1,false
143,F143,0,false
144,F144,0,false
145,F145,1,false
146,F146,2,false
147,F147,2,false
148,F148,3,false
149,F149,1,false
150,F150,0,false
151,F151,0,false
152,F152,0,false
153,F153,0,false
154,F154,2,false
155,F155,2,false
156,F156,2,false
157,F157,1,false
158,F158,5,false
159,F159,0,false
160,F160,0,false
161,F161,1,false
162,F162,3,false
163,F163,5,false
164,F164,5,false
165,F165,4,false
166,F166,4,false
167,F167,4,false
168,F168,5,false
169,F169,4,false
170,F170,4,false
171,F171,5,false
172,F172,5,false
173,F173,2,false
174,F174,0,false
175,F175,1,false
176,F176,3,false
177,F177,4,false
178,F178,4,false
179,F179,4,false
180,F180,3,false
181,F181,2,false
182,F182,0,false
183,F183,0,false
184,F184,1,false
185,F185,0,false
186,F186,2,false
187,F187,0,false
188,F188,6,false
189,F189,1,false
190,F190,1,false
191,F191,1,false
192,F192,2,false
193,F193,2,false
194,F194,6,false
195,F195,4,false
196,F196,4,false
197,F197,5,false
198,F198,5,false
199,F199,0,false
200,F200,0,false
201,F201,0,false
202,F202,3,false
203,F203,4,false
204,F204,3,false
205,F205,1,false
206,F206,1,false
207,F207,1,false
208,F208,4,false
209,F209,4,false
210,F210,5,false
211,F211,5,false
212,F212,5,false
213,F213,4,false
214,F214,2,false
215,F215,0,false
216,F216,0,false
217,F217,2,false
218,F218,4,false
219,F219,5,false
220,F220,4,false
221,F221,5,false
222,F222,5,false
223,F223,4,false
224,F224,3,false
225,F225,2,false
226,F226,0,false
227,F227,2,false
228,F228,0,false
229,F229,1,false
230,F230,1,false
231,F231,2,false
232,F232,1,false
233,F233,2,false
234,F234,0,false
235,F235,0,false
236,F236,0,false
237,F237,0,false
238,F238,1,false
239,F239,0,false
240,F240,0,false
241,F241,2,false
242,F242,1,false
243,F243,0,false
244,F244,1,false
245,F245,2,false
246,F246,2,false
247,F247,0,false
248,F248,0,false
249,F249,0,false
250,F250,3,false
251,F251,5,false
252,F252,5,false
253,F253,5,false
254,F254,5,false
255,F255,4,false
256,F256,3,false
257,F257,0,false
258,F258,0,false
259,F259,3,false
260,F260,4,false
261,F261,5,false
262,F262,4,false
263,F263,6,false
264,F264,3,false
265,F265,5,false
266,F266,5,false
267,F267,4,false
268,F268,3,false
269,F269,2,false
270,F270,1,false
271,F271,2,false
272,F272,3,false
273,F273,1,false
274,F274,2,false
275,F275,2,false
276,F276,1,false
277,F277,0,false
278,F278,1,false
279,F279,1,false
280,F280,1,false
281,F281,1,false
282,F282,2,false
283,F283,6,false
284,F284,0,false
285,F285,2,false
286,F286,0,false
287,F287,0,false
288,F288,1,false
289,F289,0,false
290,F290,0,false
291,F291,2,false
292,F292,4,false
293,F293,4,false
294,F294,5,false
295,F295,5,false
296,F296,6,false
297,F297,5,false
298,F298,5,false
299,F299,2,false
300,F300,0,false
301,F301,1,false
302,F302,1,false
303,F303,4,false
304,F304,4,false
305,F305,4,false
306,F306,4,false
307,F307,5,false
308,F308,4,false
309,F309,6,false
310,F310,4,false
311,F311,3,false
312,F312,3,false
313,F313,4,false
314,F314,2,false
315,F315,1,false
316,F316,4,false
317,F317,5,false
318,F318,4,false
319,F319,3,false
320,F320,2,false
321,F321,2,false
322,F322,3,false
323,F323,0,false
324,F324,1,false
325,F325,0,false
326,F326,1,false
327,F327,1,false
328,F328,0,false
329,F329,1,false
330,F330,0,false
331,F331,1,false
332,F332,0,false
333,F333,0,false
334,F334,1,false
335,F335,2,false
336,F336,4,false
337,F337,4,false
338,F338,4,false
339,F339,5,false
340,F340,5,false
341,F341,6,false
342,F342,6,false
343,F343,5,false
344,F344,5,false
345,F345,3,false
346,F346,2,false
347,F347,0,false
348,F348,1,false
349,F349,2,false
350,F350,3,false
351,F351,3,false
352,F352,3,false
353,F353,3,false
354,F354,3,false
355,F355,3,false
356,F356,3,false
357,F357,4,false
358,F358,3,false
359,F359,2,false
360,F360,2,false
361,F361,1,false
362,F362,1,false
363,F363,2,false
364,F364,4,false
365,F365,5,false
366,F366,4,false
367,F367,5,false
368,F368,5,false
369,F369,5,false
370,F370,2,false
371,F371,0,false
372,F372,1,false
373,F373,0,false
374,F374,0,false
375,F375,0,false
376,F376,0,false
377,F377,0,false
378,F378,1,false
379,F379,2,false
380,F380,3,false
381,F381,4,false
382,F382,4,false
383,F383,5,false
384,F384,4,false
385,F385,5,false
386,F386,6,false
387,F387,5,false
388,F388,5,false
389,F389,5,false
390,F390,5,false
391,F391,5,false
392,F392,5,false
393,F393,4,false
394,F394,3,false
395,F395,2,false
396,F396,2,false
397,F397,2,false
398,F398,2,false
399,F399,2,false
400,F400,1,false
401,F401,1,false
402,F402,0,false
403,F403,1,false
404,F404,2,false
405,F405,2,false
406,F406,4,false
407,F407,5,false
408,F408,5,false
409,F409,6,false
410,F410,5,false
411,F411,5,false
412,F412,4,false
413,F413,2,false
414,F414,2,false
415,F415,0,false
416,F416,1,false
417,F417,1,false
418,F418,0,false
419,F419,1,false
420,F420,1,false
421,F421,6,false
422,F422,0,false
423,F423,0,false
424,F424,2,false
425,F425,4,false
426,F426,4,false
427,F427,4,false
428,F428,4,false
429,F429,5,false
430,F430,5,false
431,F431,5,false
432,F432,4,false
433,F433,5,false
434,F434,5,false
435,F435,5,false
436,F436,4,false
437,F437,4,false
438,F438,5,false
439,F439,5,false
440,F440,4,false
441,F441,2,false
442,F442,1,false
443,F443,1,false
444,F444,1,false
445,F445,1,false
446,F446,1,false
447,F447,0,false
448,F448,0,false
449,F449,1,false
450,F450,1,false
451,F451,2,false
452,F452,2,false
453,F453,4,false
454,F454,5,false
455,F455,5,false
456,F456,6,false
457,F457,6,false
458,F458,6,false
459,F459,5,false
460,F460,4,false
461,F461,4,false
462,F462,2,false
463,F463,1,false
464,F464,0,false
465,F465,0,false
466,F466,1,false
467,F467,2,false
468,F468,1,false
469,F469,0,false
470,F470,0,false
